lang,article_count,active_editor_count,outgoing_translations,incoming_translations,translation_hegemony
en,6994406,118797,1093935,28479,38.41198778046982
rn,703,20,1,10,0.1
xal,1665,15,0,28,0.0
bar,27181,55,8,526,0.015209125475285171
tet,1372,11,0,36,0.0
is,60160,146,123,424,0.29009433962264153
bdr,233,5,0,0,0
nah,4269,21,1,90,0.011111111111111112
pms,70341,30,7,25,0.28
sv,2609829,1942,4564,4629,0.9859580903002808
te,112810,162,103,5552,0.01855187319884726
zh,1476616,6913,7042,34371,0.2048820226353612
bho,8816,35,4,281,0.014234875444839857
wa,12624,32,14,15,0.9333333333333333
th,173801,1144,1324,5862,0.22586148072330262
dga,2063,13,0,0,0
ga,61756,91,56,2531,0.022125642038719872
shn,13828,14,1,12,0.08333333333333333
ckb,76742,135,141,4244,0.03322337417530632
lg,3411,26,4,958,0.0041753653444676405
got,898,23,3,33,0.09090909090909091
ary,10586,52,35,327,0.10703363914373089
ml,86775,212,212,10546,0.02010240849611227
avk,29892,21,1,4,0.25
egl,13195,24,0,0,0
ay,5176,28,0,31,0.0
scn,26349,36,5,24,0.20833333333333334
lad,3841,30,7,23,0.30434782608695654
kv,5697,19,3,7,0.42857142857142855
pap,4650,27,3,30,0.1
yo,35200,76,13,1600,0.008125
sl,192888,317,396,3133,0.12639642515161187
ar,1262642,3841,5080,73175,0.06942261701400751
pag,2615,17,2,17,0.11764705882352941
ku,90338,80,198,1583,0.12507896399241947
lij,11400,30,2,65,0.03076923076923077
st,1407,24,6,68,0.08823529411764706
fy,56825,74,52,158,0.3291139240506329
koi,3469,13,0,3,0.0
olo,4559,19,2,7,0.2857142857142857
nrf,5036,15,0,0,0
fi,594263,1568,1341,2782,0.4820273184759166
kab,6912,28,2,190,0.010526315789473684
om,1930,21,9,347,0.025936599423631124
ee,1202,19,0,29,0.0
am,15419,52,126,189,0.6666666666666666
kbp,1714,12,0,1,0.0
smn,6227,22,16,60,0.26666666666666666
mwl,4280,18,8,443,0.01805869074492099
crh,28569,36,1,0,0
eo,370465,310,639,5828,0.10964310226492793
anp,1643,32,1,11,0.09090909090909091
ab,6443,30,1,24,0.041666666666666664
cdo,16657,25,2,14,0.14285714285714285
gor,14822,32,1,69,0.014492753623188406
frr,20252,26,4,7,0.5714285714285714
rsk,706,14,0,0,0
eu,463330,562,926,14851,0.06235270352164837
new,72507,21,0,93,0.0
cv,57654,52,10,53,0.18867924528301888
ug,9558,21,3,92,0.03260869565217391
so,8339,74,26,293,0.08873720136518772
bn,169371,1114,607,33408,0.018169300766283526
ast,137283,111,199,5763,0.03453062640985598
sa,12284,47,15,150,0.1
mn,25541,138,62,291,0.21305841924398625
sn,11467,18,3,101,0.0297029702970297
zgh,11725,48,0,0,0
ta,174041,263,221,27487,0.008040164441372285
mrj,10432,15,1,12,0.08333333333333333
tcy,2829,28,2,90,0.022222222222222223
tdd,341,7,0,0,0
ady,562,14,1,24,0.041666666666666664
ms,425286,586,794,14087,0.05636402356782849
be,253773,285,2738,9187,0.2980298247523675
diq,42314,39,2,885,0.0022598870056497176
mt,7351,57,24,405,0.05925925925925926
cu,1301,22,1,8,0.125
fr,2684059,17583,33919,104036,0.32603137375523855
btm,1163,11,0,0,0
qu,24141,47,17,688,0.024709302325581394
kk,239217,276,1199,4206,0.28506894912030434
dag,12795,44,2,17,0.11764705882352941
pl,1657619,4154,5930,4865,1.2189105858170606
lb,65096,80,80,122,0.6557377049180327
jam,1724,17,1,33,0.030303030303030304
bew,2967,48,0,0,0
zu,11623,49,15,1618,0.009270704573547589
lez,4430,18,0,15,0.0
knc,1305,15,0,0,0
sco,34379,85,28,639,0.04381846635367762
sah,17560,37,14,496,0.028225806451612902
hyw,12309,43,13,59,0.22033898305084745
fat,884,14,0,0,0
csb,5478,27,1,1,1.0
af,124116,185,161,3715,0.04333781965006729
bug,15951,17,6,13,0.46153846153846156
de,3015445,16992,30780,9231,3.3344166395840102
wo,1724,26,0,55,0.0
co,8475,37,18,125,0.144
nso,8765,36,5,44,0.11363636363636363
mzn,58169,31,17,267,0.06367041198501873
kn,33787,103,115,4657,0.024694009018681556
sc,7683,41,35,634,0.055205047318611984
kaa,10006,48,17,304,0.05592105263157895
an,48774,79,389,175,2.222857142857143
kbd,1649,9,10,16,0.625
guw,1517,24,1,2,0.5
lld,180786,36,4,91,0.04395604395604396
dv,3142,24,2,40,0.05
ch,557,9,1,6,0.16666666666666666
se,7901,19,12,45,0.26666666666666666
ve,819,33,0,14,0.0
gcr,1072,10,0,1,0.0
sw,98811,661,39,2552,0.015282131661442006
syl,1158,24,0,0,0
sk,253757,506,2059,1628,1.2647420147420148
bo,7005,35,2,31,0.06451612903225806
mhr,11337,19,4,8,0.5
inh,2405,14,2,12,0.16666666666666666
ka,182851,285,627,3059,0.20496894409937888
he,375304,3080,2417,35232,0.06860240690281562
cy,282079,106,206,3402,0.06055261610817166
tly,9141,13,0,0,0
vec,69431,50,9,90,0.1
ur,224904,249,2356,19754,0.11926698390199453
hi,165344,620,2041,8376,0.24367239732569246
ami,1146,13,0,4,0.0
gu,30562,67,162,2570,0.06303501945525292
xh,2240,28,5,341,0.01466275659824047
gd,15996,37,163,136,1.1985294117647058
si,22909,91,28,1355,0.020664206642066422
kg,1561,18,6,19,0.3157894736842105
it,1918540,7477,13201,33692,0.3918140804938858
ko,703820,1832,1830,9993,0.18312818973281297
gsw,31147,86,1,81,0.012345679012345678
lo,4724,34,4,1021,0.0039177277179236044
ann,424,7,0,0,0
chr,1026,26,3,108,0.027777777777777776
myv,7872,20,5,216,0.023148148148148147
pa,58676,113,240,19996,0.012002400480096018
wuu,45582,66,76,713,0.10659186535764376
li,15099,39,3,15,0.2
lmo,76659,57,26,76,0.34210526315789475
nds,85444,51,29,37,0.7837837837837838
bm,897,15,0,7,0.0
ps,20504,54,105,1715,0.061224489795918366
mr,99942,129,215,3204,0.06710362047440699
jv,74487,108,28,7875,0.0035555555555555557
nb,647510,2997,5883,10983,0.5356459983611035
mg,99588,47,25,823,0.030376670716889428
iba,1468,15,0,0,0
hr,225826,481,1109,2556,0.4338810641627543
igl,854,24,0,0,0
rue,10036,40,44,24,1.8333333333333333
av,3628,28,12,40,0.3
fur,4555,37,6,14,0.42857142857142855
ro,513140,2716,1457,15741,0.09256082840988501
min,228361,53,46,822,0.05596107055961071
jbo,1338,23,0,20,0.0
fo,14166,46,20,38,0.5263157894736842
bs,94969,162,571,1940,0.2943298969072165
ie,13150,33,5,36,0.1388888888888889
ln,4747,16,14,67,0.208955223880597
tay,2584,8,0,0,0
mos,1042,9,0,0,0
gl,221293,278,2658,23069,0.11521955871515888
id,729221,2981,5097,14983,0.34018554361609826
bcl,19552,127,22,1945,0.011311053984575836
kw,7094,22,18,893,0.020156774916013438
lfn,4462,21,2,18,0.1111111111111111
sm,1174,18,11,28,0.39285714285714285
es,2033850,13466,74910,125866,0.595156754008231
sg,321,10,1,1,1.0
to,2023,11,3,5,0.6
glk,48146,18,6,58,0.10344827586206896
cs,568755,2155,1940,13097,0.14812552492937314
gn,5908,26,20,140,0.14285714285714285
ru,2045052,8756,112525,38328,2.9358432477562095
su,62008,51,11,531,0.02071563088512241
mnw,1954,14,13,214,0.06074766355140187
nr,177,12,0,0,0
bjn,11242,39,1,421,0.0023752969121140144
hu,557293,1414,2587,4283,0.6040158767219239
gv,6858,27,2,5,0.4
rm,3784,24,4,22,0.18181818181818182
trv,1201,14,0,8,0.0
szl,58983,45,6,25,0.24
dtp,1507,65,0,0,0
ia,29934,48,6,59,0.1016949152542373
vi,1294341,1228,656,45561,0.014398279230043238
blk,2852,16,0,2,0.0
ty,1225,9,5,10,0.5
azb,244069,105,22,627,0.03508771929824561
nap,14922,33,12,68,0.17647058823529413
skr,24147,20,1,347,0.002881844380403458
fon,2541,11,0,0,0
az,204368,575,1334,4363,0.3057529223011689
zea,6672,21,4,8,0.5
pam,10116,34,2,6,0.3333333333333333
nan,433683,85,2,328,0.006097560975609756
vep,7001,19,1,1,1.0
sgs,17268,22,4,667,0.005997001499250375
nds-NL,8009,23,0,0,0
sq,102514,256,280,8171,0.03426753151389059
ltg,1092,15,0,9,0.0
iu,426,23,21,242,0.08677685950413223
ks,6918,30,5,412,0.012135922330097087
fa,1038978,4790,4208,48965,0.08593893597467579
guc,669,32,0,0,0
kge,2561,9,0,0,0
tl,48537,160,453,9999,0.045304530453045305
lv,135159,283,498,1310,0.3801526717557252
pnt,491,11,2,11,0.18181818181818182
bpy,25088,17,2,10,0.2
as,18493,139,37,694,0.053314121037463975
ss,1052,28,2,199,0.010050251256281407
pcd,5949,29,6,16,0.375
rw,8045,51,23,2705,0.008502772643253234
ne,29894,93,160,1533,0.10437051532941943
pfl,2805,17,2,11,0.18181818181818182
mai,14212,40,10,68,0.14705882352941177
ca,774310,1160,12260,65025,0.1885428681276432
nn,174701,146,2610,6072,0.4298418972332016
jv-x-bms,13929,22,0,0,0
mdf,7377,19,3,4,0.75
atj,2069,17,0,4,0.0
hsb,13989,30,30,32,0.9375
udm,5703,22,3,50,0.06
hif,11597,67,7,41,0.17073170731707318
dty,3593,23,2,34,0.058823529411764705
ce,601525,47,14,82,0.17073170731707318
gag,3020,24,4,26,0.15384615384615385
bxr,2861,17,1,95,0.010526315789473684
da,308442,1783,1579,4634,0.3407423392317652
krc,2460,15,1,13,0.07692307692307693
br,88449,91,20,392,0.05102040816326531
tw,4200,21,2,370,0.005405405405405406
alt,1103,7,0,7,0.0
gur,937,9,0,5,0.0
el,252698,910,1326,28236,0.04696132596685083
nia,1756,13,0,2,0.0
cr,13,18,5,75,0.06666666666666667
yue,144695,925,392,1377,0.28467683369644153
mni,10442,20,5,109,0.045871559633027525
xmf,21800,38,9,53,0.16981132075471697
oc,90863,111,93,2685,0.034636871508379886
war,1273212,73,51,145,0.35172413793103446
frp,5805,25,6,31,0.1935483870967742
my,109077,143,69,2036,0.03388998035363458
ts,943,39,11,226,0.048672566371681415
tt,502675,97,435,5257,0.08274681377211338
sd,19103,39,42,1078,0.03896103896103896
hy,319086,531,539,4852,0.11108821104699093
rmy,759,16,3,13,0.23076923076923078
nap-x-tara,9493,18,0,0,0
la,140199,178,73,768,0.09505208333333333
lzh,13600,44,27,260,0.10384615384615385
shi,10862,19,0,34,0.0
ki,1871,11,2,5,0.4
be-tarask,88932,108,26,243,0.10699588477366255
pi,2559,9,2,4,0.5
sr,706868,2343,3361,8481,0.3962976064143379
mk,152452,221,520,20004,0.025994801039792043
nqo,1540,19,3,402,0.007462686567164179
tum,18713,20,0,90,0.0
nl,2187144,3632,4402,9970,0.4415245737211635
nov,1865,14,2,17,0.11764705882352941
tn,2142,26,15,176,0.08522727272727272
bbc,996,19,0,0,0
arz,1627205,196,136,3684,0.03691639522258415
uz,292634,448,559,73762,0.007578427916813535
kus,1080,18,0,0,0
pcm,1472,24,0,10,0.0
sat,13317,29,4,132,0.030303030303030304
ba,63810,73,2292,17818,0.12863396565271074
za,3003,14,0,4,0.0
lbe,1264,11,1,7,0.14285714285714285
yi,15518,43,28,566,0.04946996466431095
ha,57603,140,109,20538,0.005307235368585062
uk,1377217,3060,11415,81511,0.14004244825851725
ceb,6117065,194,1347,1791,0.7520938023450586
ext,3916,22,20,71,0.28169014084507044
lt,222287,331,961,955,1.006282722513089
ti,337,9,3,69,0.043478260869565216
awa,2501,17,1,6,0.16666666666666666
ik,599,9,0,5,0.0
gan,6759,18,16,12,1.3333333333333333
ig,42647,120,55,16836,0.003266809218341649
kcg,1346,11,0,1,0.0
din,339,9,2,7,0.2857142857142857
ilo,15402,29,0,5,0.0
pnb,74084,63,73,150,0.4866666666666667
rup,1390,27,2,48,0.041666666666666664
tyv,3541,23,2,468,0.004273504273504274
bg,303862,653,1374,4284,0.32072829131652664
mad,1761,41,1,1,1.0
szy,2737,16,1,0,0
vo,41974,30,8,28,0.2857142857142857
os,20407,24,4,230,0.017391304347826087
mi,7993,24,3,55,0.05454545454545454
tpi,1387,14,2,62,0.03225806451612903
ky,75953,99,64,734,0.08719346049046321
dsb,3429,27,4,27,0.14814814814814814
tr,635666,2583,7813,64550,0.12103795507358636
km,11418,63,28,1202,0.02329450915141431
ban,29439,66,5,21,0.23809523809523808
ang,4793,51,4,40,0.1
fj,1580,12,0,22,0.0
tg,115296,85,612,3897,0.15704387990762125
nv,22661,21,0,5,0.0
ja,1462048,12764,6565,25946,0.2530255145301781
srn,1131,9,0,9,0.0
dz,388,24,1,13,0.07692307692307693
tk,6937,35,33,154,0.21428571428571427
ny,1068,16,3,90,0.03333333333333333
tig,39,6,0,0,0
stq,4128,20,0,10,0.0
ht,71005,51,34,651,0.05222734254992319
gom,3614,15,1,77,0.012987012987012988
sh,460706,531,357,413,0.864406779661017
nup,283,20,0,0,0
chy,722,12,0,6,0.0
pwn,373,7,0,2,0.0
gpe,2975,25,0,0,0
ff,8561,47,0,81,0.0
vro,6799,36,2,211,0.009478672985781991
arc,1915,18,1,5,0.2
cbk,3226,25,0,0,0
et,252345,682,726,1351,0.537379718726869
pt,1146763,8511,16569,53894,0.30743682042527926
ace,13061,39,4,52,0.07692307692307693
vls,8110,27,5,14,0.35714285714285715
hak,10349,29,4,1066,0.00375234521575985
kl,246,25,1,11,0.09090909090909091
haw,2899,21,15,184,0.08152173913043478
pdc,2042,33,1,28,0.03571428571428571
io,56346,62,2,60,0.03333333333333333
ksh,3001,11,0,15,0.0
or,19557,50,49,2756,0.017779390420899856
bi,1469,16,0,23,0.0
